STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
725030,14732,20140101,28.9,24,10.3,24,1026.9,24,1025.9,24,10,24,9.4,24,15.9,24.1,33.1,21, 0.00G,999.9,000000
725030,14732,20140102,28.9,24,20.5,24,1019.5,24,1018.6,24,9.3,24,14.2,24,22,27,33.1,25, 0.01G,999.9,011000
725030,14732,20140103,16.6,24,8.9,24,1015.1,17,1011.6,24,4,24,16.7,24,22,32.1,32,10.9, 0.30G,7.9,101000
725030,14732,20140104,15.8,24,-1.2,24,1031.4,24,1030.4,24,10,24,6.8,24,13,22.9,27,9, 0.25G,3.9,000000
725030,14732,20140105,29.1,24,20.8,24,1025.8,18,1024,24,6.6,24,4.8,24,11.1,999.9,   35.6*,  26.1*, 0.00G,3.1,010000
725030,14732,20140106,44.7,24,39.6,24,1002.3,19,1002.2,24,4.1,24,11.2,24,19,27,53.1,25, 0.17G,2,110000
725030,14732,20140107,14,24,-6.9,24,1015.2,24,1014.3,24,10,24,19.6,24,26,35.9,   36.0*,   3.9*, 0.24G,999.9,000000
725030,14732,20140108,12.9,24,-6,24,1031.1,24,1030.2,24,10,24,11.4,24,18.1,24.1,21.9,3.9, 0.00G,999.9,000000
725030,14732,20140109,25.7,24,5.1,24,1035.2,24,1034.2,24,10,24,7,24,12,15.9,33.1,9, 0.00G,999.9,000000
725030,14732,20140110,30.2,24,20.1,24,1033.5,19,1032,24,7.2,24,4.8,24,7,999.9,34,23, 0.00G,999.9,011000
725030,14732,20140111,43.7,24,41.8,24,1014.5,12,1012.7,24,2.2,24,9.2,24,20,33,55,27, 0.22G,999.9,110000
725030,14732,20140112,47.6,24,34.4,24,1004,23,1001.8,24,9.9,24,13.6,24,20,31.1,55.9,34, 0.45G,999.9,010000
725030,14732,20140113,41.8,24,29,24,1018.2,24,1017.2,24,9.8,24,8.9,24,13,19,54,35.1, 0.02G,999.9,000000
