GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
8600000US06390,06390,ZCTA5 06390,132,52,173206,32087,77.3,19.0,120188,46388,47.0,20.2,98879,51735,42.4,23.0,16970,3771,0.0,20.2,-,**,0.0,20.2,-,**,28.0,20.6,91292,62494,95,37,149977,17285,15.8,21.0,N,N,23.2,23.3,N,N,57.9,28.3,N,N,0.0,26.5,N,N,3.2,5.9,N,N,0.0,26.5,N,N,296,120,77582,22611,100.0,9.6,77582,22611,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,100.0,9.6,77582,22611,37.9,(X),(X),(X),50.5,(X),(X),(X),32.6,(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,11169,461,151316,25929,80.5,2.7,159847,17747,28.2,3.0,51982,47200,18.5,2.4,16927,1436,5.1,1.8,6969,1031,2.0,0.9,5617,1946,9.7,1.9,23470,4637,3348,357,174333,29223,11.4,4.1,36090,13611,28.3,6.0,153863,71368,35.2,6.7,278615,50269,17.4,8.0,92621,20918,6.9,4.7,153596,88159,0.9,0.9,232552,82526,22767,2058,77512,13864,60.5,5.3,99990,20651,11.4,5.3,19202,13394,0.4,0.4,50337,33993,18.0,2.7,66484,14725,0.0,0.1,-,**,4.8,3.7,15339,4460,4.8,1.6,39207,19499,16.5,3.0,31843,9344,51.8,4.0,110454,23931,21.6,(X),(X),(X),27.4,(X),(X),(X),19.8,(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,32550,663,60564,2911,67.7,1.6,75330,3698,16.0,1.6,9259,2623,31.8,1.8,11766,586,14.3,1.6,7658,471,5.6,1.1,3861,741,12.4,1.3,15461,1888,17454,664,58384,3912,23.9,2.1,20067,2882,38.5,3.0,50371,5369,18.1,2.6,121016,14179,12.1,2.3,55417,6117,3.7,1.0,74864,10018,3.6,1.3,77242,14632,79894,2177,26905,1341,31.2,1.7,46908,3643,7.6,1.1,19985,3730,0.3,0.2,15766,6146,43.6,2.0,17940,1478,0.0,0.1,-,**,13.8,1.9,15575,1759,3.5,0.9,21234,5165,26.0,1.8,17482,1810,21.0,1.4,60224,4913,32.4,(X),(X),(X),35.7,(X),(X),(X),27.4,(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27564,663,156983,9479,84.7,1.6,159651,9885,37.0,2.1,38984,7329,17.3,1.6,19149,1125,1.2,0.5,12550,4604,0.7,0.4,5052,2314,8.3,1.2,30798,4872,7396,638,235158,24292,9.2,2.7,76478,29910,28.2,4.0,219715,57951,54.7,4.5,284380,36279,5.3,1.9,123522,33841,1.8,1.2,185636,84661,0.8,0.6,75642,42435,57068,1563,79088,4663,77.2,1.9,87109,5304,4.6,1.1,32677,13617,0.3,0.2,2875,3876,13.1,1.3,62154,13052,0.0,0.1,N,N,1.6,0.6,31809,14809,3.3,0.8,51351,17296,7.0,0.9,45974,12955,72.5,2.0,89556,5429,22.0,(X),(X),(X),26.5,(X),(X),(X),29.1,(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1580,208,181042,23953,90.0,8.1,186872,23441,37.2,8.8,19982,10448,6.6,4.6,25867,6176,0.0,1.9,-,**,0.0,1.9,-,**,3.8,3.6,19713,17332,531,137,297990,41099,0.9,1.4,N,N,18.8,11.4,N,N,65.2,15.9,N,N,15.1,15.3,N,N,0.0,5.5,N,N,0.0,5.5,N,N,3024,486,98020,12903,77.4,6.4,107482,15620,2.3,2.0,79599,64279,0.0,1.0,-,**,18.3,6.4,64368,19323,0.0,1.0,-,**,0.5,0.8,N,N,1.5,1.0,62363,41340,9.1,5.0,92423,31246,69.7,7.3,109744,16988,16.1,(X),(X),(X),14.7,(X),(X),(X),10.3,(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4100,341,175864,28242,92.5,4.0,187011,30090,25.0,6.9,7555,4698,1.8,1.4,23411,1496,0.5,0.8,7870,10,0.0,0.7,-,**,0.0,0.7,-,**,1056,221,294371,84736,1.1,1.4,N,N,25.2,12.9,N,N,71.6,13.0,N,N,2.1,3.1,N,N,0.0,2.8,N,N,0.0,2.8,N,N,7570,754,99633,14767,74.9,5.4,100151,14637,3.7,2.0,112808,28662,0.0,0.4,-,**,16.3,4.5,112602,49442,0.0,0.4,-,**,2.6,2.0,49898,33198,2.4,1.7,30323,24204,6.8,3.3,47347,10537,70.9,6.0,103007,15349,18.2,(X),(X),(X),17.1,(X),(X),(X),13.5,(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1686,185,161202,22657,96.1,3.6,163900,24018,21.2,6.5,12124,9340,0.0,1.8,-,**,0.0,1.8,-,**,1.6,2.5,415,8,0.0,1.8,-,**,456,139,213649,55400,0.0,6.4,N,N,38.2,19.5,N,N,56.6,19.5,N,N,5.3,8.2,N,N,0.0,6.4,N,N,0.0,6.4,N,N,2950,430,97226,17633,71.5,8.9,104902,23737,3.2,3.3,128559,84528,0.0,1.0,-,**,17.9,7.9,82558,14420,0.0,1.0,-,**,2.8,3.7,72846,66986,4.6,3.8,27789,20741,8.4,5.3,51090,29135,68.8,8.8,106162,24985,22.2,(X),(X),(X),15.1,(X),(X),(X),17.3,(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2646,186,430777,62072,94.9,2.9,415435,62083,41.5,7.7,74958,33527,4.2,2.3,19731,8093,0.5,0.8,4514,24,0.0,1.1,-,**,5.3,2.8,73587,64108,1361,201,582466,100569,2.1,2.4,N,N,24.9,8.0,N,N,67.6,8.0,N,N,3.1,2.9,N,N,2.3,2.6,N,N,0.0,2.2,N,N,6748,611,173257,25191,67.2,4.2,211526,34399,7.0,2.8,26428,15382,0.0,0.4,-,**,16.8,3.0,155403,35086,0.0,0.4,-,**,1.9,1.1,1936,2561,7.2,2.5,45095,63191,8.3,2.1,78515,73353,63.2,4.4,214770,36789,15.0,(X),(X),(X),12.6,(X),(X),(X),19.3,(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29860,466,86010,4663,76.2,1.7,99435,5485,16.6,1.9,17262,5289,21.7,1.8,14675,1028,7.5,1.0,9323,663,4.0,0.9,3659,918,10.7,1.4,22658,4852,11321,568,104943,10633,17.1,2.5,27724,7361,37.0,3.7,74032,11409,30.4,3.4,196576,28335,10.4,2.7,72360,10359,2.4,0.9,148468,44463,2.8,1.1,71787,16613,61806,1770,44714,2454,59.8,2.3,57576,3670,6.8,0.9,22148,4944,0.1,0.1,11743,12722,15.0,1.7,34626,5430,0.2,0.2,70075,68001,14.5,2.4,16932,2635,3.6,0.9,27030,7651,25.6,1.8,20165,2427,49.8,2.1,64443,4071,24.8,(X),(X),(X),26.1,(X),(X),(X),21.0,(X),(X),(X)
